gnt_mxn,Porcentage,Time
1.9,0.0,11:44:55
1.9,0.0,11:45:28
1.9,0.0,11:46:01
1.9,0.0,11:46:34
1.9,0.0,11:47:07
1.9,0.0,11:47:40
1.9,0.0,11:48:13
1.9,0.0,11:48:46
1.9,0.0,11:49:19
1.9,0.0,11:49:52
1.9,0.0,11:50:25
1.9,0.0,11:50:58
1.9,0.0,11:51:32
1.9,0.0,11:52:05
1.9,0.0,11:52:39
1.9,0.0,11:53:12
1.9,0.0,11:53:45
1.9,0.0,11:54:18
1.9,0.0,11:54:51
1.9,0.0,11:55:25
1.9,0.0,11:55:58
1.9,0.0,11:56:31
1.9,0.0,11:57:04
1.9,0.0,11:57:37
1.9,0.0,11:58:11
1.9,0.0,11:58:44
1.9,0.0,11:59:17
1.9,0.0,11:59:50
1.9,0.0,12:00:23
1.9,0.0,12:00:57
1.9,0.0,12:01:30
1.88,-1.05263158,12:02:04
1.88,0.0,12:02:36
1.88,0.0,12:03:10
1.88,0.0,12:03:42
1.88,0.0,12:04:16
1.88,0.0,12:04:49
1.88,0.0,12:05:22
1.88,0.0,12:05:55
1.88,0.0,12:06:28
1.88,0.0,12:07:00
1.88,0.0,12:07:33
1.88,0.0,12:08:06
1.88,0.0,12:08:39
1.88,0.0,12:09:12
1.88,0.0,12:09:45
1.9,1.06382979,12:10:18
1.9,0.0,12:10:51
1.9,0.0,12:11:24
1.9,0.0,12:11:57
1.9,0.0,12:12:30
1.9,0.0,12:13:03
1.9,0.0,12:13:36
1.9,0.0,12:14:08
1.9,0.0,12:14:41
1.9,0.0,12:15:14
1.9,0.0,12:15:47
1.9,0.0,12:16:21
1.9,0.0,12:16:54
1.9,0.0,12:17:27
1.9,0.0,12:18:00
1.9,0.0,12:18:33
1.9,0.0,12:19:06
1.9,0.0,12:19:40
1.9,0.0,12:20:12
1.9,0.0,12:20:46
1.9,0.0,12:21:19
1.9,0.0,12:21:52
1.9,0.0,12:22:25
1.9,0.0,12:22:57
1.9,0.0,12:23:31
1.9,0.0,12:24:04
1.9,0.0,12:24:37
1.89,-0.52631579,12:25:10
1.89,0.0,12:25:42
1.89,0.0,12:26:16
1.89,0.0,12:26:48
1.89,0.0,12:27:21
1.89,0.0,12:27:54
1.89,0.0,12:28:28
1.89,0.0,12:29:01
1.89,0.0,12:29:34
1.89,0.0,12:30:07
1.89,0.0,12:30:40
1.89,0.0,12:31:13
1.89,0.0,12:31:50
1.89,0.0,12:32:23
1.9,0.52910053,12:32:56
1.9,0.0,12:33:29
1.9,0.0,12:34:02
1.9,0.0,12:34:35
1.88,-1.05263158,12:35:08
1.88,0.0,12:35:41
1.88,0.0,12:36:14
1.88,0.0,12:36:47
1.88,0.0,12:37:20
1.9,1.06382979,12:37:53
1.9,0.0,12:38:27
1.9,0.0,12:39:00
1.9,0.0,12:39:33
1.88,-1.05263158,12:40:06
1.88,0.0,12:40:39
1.88,0.0,12:41:12
1.88,0.0,12:41:45
1.88,0.0,12:42:18
1.88,0.0,12:42:51
1.88,0.0,12:43:25
1.88,0.0,12:43:58
1.88,0.0,12:44:31
1.88,0.0,12:45:04
1.88,0.0,12:45:37
1.88,0.0,12:46:10
1.88,0.0,12:46:43
1.9,1.06382979,12:47:17
1.9,0.0,12:47:50
1.9,0.0,12:48:23
1.9,0.0,12:48:57
1.9,0.0,12:49:29
1.88,-1.05263158,12:50:02
1.88,0.0,12:50:36
1.88,0.0,12:51:09
1.88,0.0,12:51:42
1.88,0.0,12:52:15
1.88,0.0,12:52:48
1.9,1.06382979,12:53:21
1.9,0.0,12:53:54
1.9,0.0,12:54:28
1.9,0.0,12:55:01
1.9,0.0,12:55:34
1.9,0.0,12:56:08
1.9,0.0,12:56:41
1.9,0.0,12:57:13
1.9,0.0,12:57:47
1.9,0.0,12:58:20
1.9,0.0,12:58:53
1.9,0.0,12:59:26
1.9,0.0,12:59:59
1.9,0.0,13:00:32
1.9,0.0,13:01:05
1.9,0.0,13:01:39
1.9,0.0,13:02:12
1.9,0.0,13:02:45
1.9,0.0,13:03:18
1.9,0.0,13:03:51
1.9,0.0,13:04:24
1.9,0.0,13:04:57
1.9,0.0,13:05:30
1.9,0.0,13:06:03
1.9,0.0,13:06:37
1.9,0.0,13:07:09
1.9,0.0,13:07:42
1.9,0.0,13:08:16
1.9,0.0,13:08:49
1.9,0.0,13:09:22
1.9,0.0,13:09:56
1.9,0.0,13:10:29
1.9,0.0,13:11:02
1.9,0.0,13:11:34
1.9,0.0,13:12:08
1.9,0.0,13:12:40
1.9,0.0,13:13:13
1.9,0.0,13:13:46
1.9,0.0,13:14:19
1.9,0.0,13:14:52
1.9,0.0,13:15:25
1.9,0.0,13:15:59
1.9,0.0,13:16:32
1.9,0.0,13:17:05
1.9,0.0,13:17:39
1.88,-1.05263158,13:18:12
1.9,1.06382979,13:18:44
1.9,0.0,13:19:17
1.9,0.0,13:19:50
1.9,0.0,13:20:23
1.9,0.0,13:20:56
1.9,0.0,13:21:29
1.9,0.0,13:22:02
1.9,0.0,13:22:35
1.9,0.0,13:23:08
1.9,0.0,13:23:42
1.9,0.0,13:24:15
1.9,0.0,13:24:48
1.9,0.0,13:25:21
1.9,0.0,13:25:54
1.9,0.0,13:26:27
1.9,0.0,13:27:00
1.9,0.0,13:27:33
1.9,0.0,13:28:06
1.9,0.0,13:28:39
1.87,-1.57894737,13:29:13
1.87,0.0,13:29:45
1.87,0.0,13:30:19
1.87,0.0,13:30:52
1.87,0.0,13:31:25
1.87,0.0,13:31:58
1.87,0.0,13:32:31
1.87,0.0,13:33:04
1.87,0.0,13:33:37
1.87,0.0,13:34:10
1.87,0.0,13:34:43
1.87,0.0,13:35:17
1.87,0.0,13:35:50
1.87,0.0,13:36:23
1.87,0.0,13:36:56
1.87,0.0,13:37:29
1.87,0.0,13:38:03
1.87,0.0,13:38:35
1.87,0.0,13:39:08
1.87,0.0,13:39:41
1.87,0.0,13:40:14
1.87,0.0,13:40:46
1.87,0.0,13:41:19
1.87,0.0,13:41:54
1.87,0.0,13:42:26
1.87,0.0,13:42:59
1.87,0.0,13:43:33
1.87,0.0,13:44:06
1.87,0.0,13:44:40
1.87,0.0,13:45:13
1.87,0.0,13:45:46
1.87,0.0,13:46:18
1.87,0.0,13:46:52
1.87,0.0,13:47:25
1.87,0.0,13:47:57
1.87,0.0,13:48:31
1.87,0.0,13:49:04
1.87,0.0,13:49:38
1.87,0.0,13:50:11
1.87,0.0,13:50:44
1.87,0.0,13:51:16
1.87,0.0,13:51:49
1.87,0.0,13:52:23
1.87,0.0,13:52:56
