ltc_mxn,Porcentage,Time
2260.2,0.0,17:47:16
2260.2,0.0,17:47:49
2260.2,0.0,17:48:22
2260.2,0.0,17:48:54
2260.2,0.0,17:49:27
2260.2,0.0,17:50:00
2260.2,0.0,17:50:34
2260.2,0.0,17:51:07
2260.2,0.0,17:51:40
2260.2,0.0,17:52:13
2260.2,0.0,17:52:46
2260.2,0.0,17:53:19
2260.2,0.0,17:53:52
2260.2,0.0,17:54:25
2236.19,-1.06229537,17:54:58
2236.19,0.0,17:55:31
2236.19,0.0,17:56:03
2236.19,0.0,17:56:36
2236.19,0.0,17:57:09
2236.19,0.0,17:57:42
2236.19,0.0,17:58:15
2236.19,0.0,17:58:48
2236.19,0.0,17:59:21
2236.19,0.0,17:59:54
2236.19,0.0,18:00:27
2236.19,0.0,18:01:00
2236.19,0.0,18:01:33
2236.19,0.0,18:02:06
2236.19,0.0,18:02:39
2236.19,0.0,18:03:12
2236.19,0.0,18:03:45
2236.19,0.0,18:04:18
2263.4,1.21680179,18:04:51
2263.4,0.0,18:05:24
2263.47,0.00309269,18:05:57
2263.47,0.0,18:06:30
2263.47,0.0,18:07:03
2263.47,0.0,18:07:36
2263.47,0.0,18:08:09
2263.47,0.0,18:08:42
2263.47,0.0,18:09:15
2263.47,0.0,18:09:48
2263.47,0.0,18:10:20
2263.47,0.0,18:10:53
2263.47,0.0,18:11:26
2263.47,0.0,18:11:59
2263.47,0.0,18:12:31
2263.47,0.0,18:13:04
2263.47,0.0,18:13:37
2263.47,0.0,18:14:10
2263.47,0.0,18:14:43
2263.47,0.0,18:15:16
2263.36,-0.00485979,18:15:49
2263.36,0.0,18:16:22
2263.36,0.0,18:16:54
2263.36,0.0,18:17:27
2263.36,0.0,18:18:00
2263.36,0.0,18:18:33
2263.36,0.0,18:19:06
2263.36,0.0,18:19:39
2263.36,0.0,18:20:11
2263.36,0.0,18:20:45
2263.36,0.0,18:21:17
2263.36,0.0,18:21:50
2263.36,0.0,18:22:23
2263.36,0.0,18:22:55
2263.36,0.0,18:23:28
2263.36,0.0,18:24:01
2263.36,0.0,18:24:34
2263.36,0.0,18:25:07
2263.36,0.0,18:25:40
2263.36,0.0,18:26:13
2263.36,0.0,18:26:46
2263.36,0.0,18:27:19
2263.36,0.0,18:27:52
2263.36,0.0,18:28:25
2263.36,0.0,18:28:58
2245.0,-0.81118337,18:29:31
2245.0,0.0,18:30:04
2245.0,0.0,18:30:37
2245.0,0.0,18:31:10
2245.0,0.0,18:31:43
2245.0,0.0,18:32:15
2245.0,0.0,18:32:48
2245.0,0.0,18:33:21
2245.0,0.0,18:33:54
2245.0,0.0,18:34:27
2245.0,0.0,18:35:00
2245.0,0.0,18:35:32
2245.0,0.0,18:36:05
2260.26,0.67973274,18:36:38
2260.26,0.0,18:37:11
2260.26,0.0,18:37:44
2260.26,0.0,18:38:16
2260.26,0.0,18:38:49
2260.26,0.0,18:39:22
2260.26,0.0,18:39:55
2260.26,0.0,18:40:28
2260.26,0.0,18:41:00
2260.26,0.0,18:41:33
2260.26,0.0,18:42:06
2260.26,0.0,18:42:39
2260.26,0.0,18:43:12
2260.26,0.0,18:43:45
2260.26,0.0,18:44:18
2260.26,0.0,18:44:51
2260.26,0.0,18:45:24
2260.26,0.0,18:45:56
2260.26,0.0,18:46:30
2260.26,0.0,18:47:03
2260.26,0.0,18:47:36
2260.26,0.0,18:48:08
2260.26,0.0,18:48:41
2260.26,0.0,18:49:14
2260.26,0.0,18:49:47
2260.26,0.0,18:50:20
2260.26,0.0,18:50:53
2260.26,0.0,18:51:25
2260.26,0.0,18:51:58
2260.26,0.0,18:52:31
2260.26,0.0,18:53:04
2260.26,0.0,18:53:37
2260.26,0.0,18:54:10
2260.26,0.0,18:54:43
2260.26,0.0,18:55:16
2260.26,0.0,18:55:49
2260.26,0.0,18:56:22
2260.26,0.0,18:56:55
2260.25,-0.00044243,18:57:28
2260.25,0.0,18:58:00
2260.25,0.0,18:58:34
2260.25,0.0,18:59:07
2260.25,0.0,18:59:40
2260.25,0.0,19:00:13
2260.25,0.0,19:00:46
2260.25,0.0,19:01:19
2260.25,0.0,19:01:52
2260.25,0.0,19:02:25
2260.25,0.0,19:02:58
2260.25,0.0,19:03:31
2260.25,0.0,19:04:04
2260.25,0.0,19:04:37
2260.25,0.0,19:05:10
2260.25,0.0,19:05:42
2260.25,0.0,19:06:15
2260.25,0.0,19:06:49
2260.25,0.0,19:07:21
2243.0,-0.76318991,19:07:54
2243.0,0.0,19:08:27
2243.0,0.0,19:09:00
2243.0,0.0,19:09:33
2243.0,0.0,19:10:06
2243.0,0.0,19:10:39
2243.0,0.0,19:11:11
2260.24,0.76861346,19:11:45
2260.24,0.0,19:12:17
2260.24,0.0,19:12:50
2260.24,0.0,19:13:23
2260.24,0.0,19:13:56
2260.24,0.0,19:14:29
2260.24,0.0,19:15:02
2260.24,0.0,19:15:35
2260.24,0.0,19:16:08
2260.24,0.0,19:16:41
2260.24,0.0,19:17:14
2260.24,0.0,19:17:48
2260.24,0.0,19:18:21
2260.24,0.0,19:18:53
2260.24,0.0,19:19:26
2260.24,0.0,19:19:59
2257.91,-0.1030864,19:20:32
2257.91,0.0,19:21:05
2257.91,0.0,19:21:39
2257.9,-0.00044289,19:22:11
2257.9,0.0,19:22:45
2257.9,0.0,19:23:18
2257.9,0.0,19:23:50
2257.9,0.0,19:24:23
2257.9,0.0,19:24:56
2257.9,0.0,19:25:29
2257.9,0.0,19:26:02
2257.9,0.0,19:26:35
2257.9,0.0,19:27:07
2257.9,0.0,19:27:40
2257.9,0.0,19:28:13
2257.9,0.0,19:28:46
2257.9,0.0,19:29:19
2257.9,0.0,19:29:53
2257.91,0.00044289,19:30:25
2257.91,0.0,19:30:58
2257.91,0.0,19:31:31
2257.91,0.0,19:32:05
2257.91,0.0,19:32:38
2257.91,0.0,19:33:11
2257.91,0.0,19:33:43
2257.91,0.0,19:34:16
2257.91,0.0,19:34:49
2257.91,0.0,19:35:22
2257.91,0.0,19:35:55
2257.91,0.0,19:36:28
2257.91,0.0,19:37:01
2257.91,0.0,19:37:34
2257.91,0.0,19:38:07
2257.91,0.0,19:38:40
2257.91,0.0,19:39:13
2257.91,0.0,19:39:46
2257.91,0.0,19:40:19
2257.91,0.0,19:40:52
2257.91,0.0,19:41:25
2257.91,0.0,19:41:57
2257.91,0.0,19:42:30
2257.91,0.0,19:43:04
2243.0,-0.66034519,19:43:37
2243.0,0.0,19:44:10
2243.0,0.0,19:44:43
2243.0,0.0,19:45:15
2243.0,0.0,19:45:48
2243.0,0.0,19:46:21
2243.0,0.0,19:46:54
2243.0,0.0,19:47:27
2243.0,0.0,19:47:59
2243.0,0.0,19:48:33
2243.0,0.0,19:49:06
2243.0,0.0,19:49:38
2243.0,0.0,19:50:11
2243.0,0.0,19:50:44
2243.0,0.0,19:51:17
2243.0,0.0,19:51:50
2239.12,-0.17298261,19:52:23
2239.15,0.00133981,19:52:56
2257.89,0.83692473,19:53:29
2257.89,0.0,19:54:02
2257.89,0.0,19:54:34
2257.89,0.0,19:55:07
2257.89,0.0,19:55:40
2257.89,0.0,19:56:13
2257.89,0.0,19:56:46
2257.89,0.0,19:57:19
2257.89,0.0,19:57:52
2257.89,0.0,19:58:25
2257.89,0.0,19:59:01
2257.89,0.0,19:59:34
2257.89,0.0,20:00:07
2257.89,0.0,20:00:40
2257.89,0.0,20:01:12
2240.5,-0.7701881,20:01:46
2240.5,0.0,20:02:19
2240.5,0.0,20:02:52
2240.5,0.0,20:03:24
2240.5,0.0,20:03:57
2240.5,0.0,20:04:30
2240.5,0.0,20:05:03
2240.5,0.0,20:05:36
2240.5,0.0,20:06:09
2240.5,0.0,20:06:42
2240.5,0.0,20:07:15
2240.5,0.0,20:07:48
2240.5,0.0,20:08:21
2240.5,0.0,20:08:54
2240.5,0.0,20:09:27
2240.5,0.0,20:09:59
2240.5,0.0,20:10:33
2240.5,0.0,20:11:06
2240.5,0.0,20:11:39
2240.5,0.0,20:12:11
2240.54,0.00178532,20:12:44
2240.54,0.0,20:13:17
2240.54,0.0,20:13:50
2240.54,0.0,20:14:23
2240.54,0.0,20:14:56
2240.54,0.0,20:15:28
2240.54,0.0,20:16:01
2240.54,0.0,20:16:34
2240.54,0.0,20:17:07
2240.54,0.0,20:17:40
2240.54,0.0,20:18:13
2240.54,0.0,20:18:46
2240.54,0.0,20:19:19
2240.54,0.0,20:19:52
2240.54,0.0,20:20:25
2240.54,0.0,20:20:58
2240.54,0.0,20:21:31
2240.54,0.0,20:22:04
2240.54,0.0,20:22:37
2240.54,0.0,20:23:09
2240.54,0.0,20:23:42
2240.54,0.0,20:24:15
2240.54,0.0,20:24:48
2240.54,0.0,20:25:21
2240.54,0.0,20:25:54
2240.54,0.0,20:26:27
2240.54,0.0,20:27:00
2240.54,0.0,20:27:33
2240.54,0.0,20:28:06
2240.54,0.0,20:28:39
2240.54,0.0,20:29:11
2240.54,0.0,20:29:45
2240.54,0.0,20:30:18
2240.54,0.0,20:30:50
2240.54,0.0,20:31:23
2263.12,1.00779276,20:31:56
2263.12,0.0,20:32:29
2263.12,0.0,20:33:02
2263.12,0.0,20:33:35
2263.12,0.0,20:34:08
2263.12,0.0,20:34:41
2263.12,0.0,20:35:14
2263.12,0.0,20:35:47
2262.09,-0.04551239,20:36:20
2262.09,0.0,20:36:53
2262.09,0.0,20:37:26
2262.09,0.0,20:37:59
2262.09,0.0,20:38:32
2262.09,0.0,20:39:04
2262.09,0.0,20:39:37
2262.09,0.0,20:40:10
2241.02,-0.93143951,20:40:43
2241.02,0.0,20:41:16
2241.02,0.0,20:41:49
2241.02,0.0,20:42:22
2241.02,0.0,20:42:55
2241.02,0.0,20:43:28
2241.02,0.0,20:44:01
2241.02,0.0,20:44:34
2241.02,0.0,20:45:07
2241.02,0.0,20:45:40
2241.02,0.0,20:46:13
2241.02,0.0,20:46:46
2241.02,0.0,20:47:19
2241.02,0.0,20:47:53
2241.02,0.0,20:48:25
2241.02,0.0,20:48:58
2241.02,0.0,20:49:31
2241.02,0.0,20:50:04
2241.02,0.0,20:50:36
2241.02,0.0,20:51:09
2241.02,0.0,20:51:42
2241.02,0.0,20:52:15
2241.02,0.0,20:52:48
2241.02,0.0,20:53:21
2241.02,0.0,20:53:54
2241.02,0.0,20:54:27
2258.99,0.80186701,20:55:00
2258.99,0.0,20:55:33
2250.0,-0.39796546,20:56:06
2250.0,0.0,20:56:39
2263.98,0.62133333,20:57:11
2263.98,0.0,20:57:45
2263.98,0.0,20:58:18
2250.0,-0.61749662,20:58:50
2250.0,0.0,20:59:23
2250.0,0.0,20:59:56
2250.0,0.0,21:00:30
2250.0,0.0,21:01:02
2250.0,0.0,21:01:35
2250.0,0.0,21:02:08
2250.0,0.0,21:02:41
2250.0,0.0,21:03:14
2250.0,0.0,21:03:48
2250.0,0.0,21:04:20
2250.0,0.0,21:04:54
2250.0,0.0,21:05:26
2250.0,0.0,21:05:59
2250.0,0.0,21:06:32
2250.0,0.0,21:07:05
2250.0,0.0,21:07:38
2250.0,0.0,21:08:11
2259.0,0.4,21:08:45
2259.0,0.0,21:09:18
2259.0,0.0,21:09:50
2259.0,0.0,21:10:23
2259.0,0.0,21:10:56
2259.0,0.0,21:11:29
2259.0,0.0,21:12:02
2259.0,0.0,21:12:35
2259.0,0.0,21:13:08
2259.0,0.0,21:13:41
2259.0,0.0,21:14:14
2259.0,0.0,21:14:47
2259.0,0.0,21:15:20
2259.0,0.0,21:15:53
2259.0,0.0,21:16:26
2259.0,0.0,21:16:58
2259.0,0.0,21:17:31
2255.0,-0.1770695,21:18:04
2255.0,0.0,21:18:37
2255.0,0.0,21:19:10
