bat_mxn,Porcentage,Time
6.8,0.0,00:19:28
6.8,0.0,00:20:01
6.8,0.0,00:20:34
6.8,0.0,00:21:07
6.79,-0.14705882,00:21:40
6.79,0.0,00:22:13
6.79,0.0,00:22:47
6.79,0.0,00:23:19
6.81,0.29455081,00:23:52
6.81,0.0,00:24:25
6.82,0.14684288,00:24:58
6.82,0.0,00:25:31
6.82,0.0,00:26:04
6.82,0.0,00:26:37
6.83,0.14662757,00:27:10
6.83,0.0,00:27:42
6.83,0.0,00:28:15
6.83,0.0,00:28:49
6.83,0.0,00:29:21
6.83,0.0,00:29:55
6.83,0.0,00:30:28
6.83,0.0,00:31:01
6.83,0.0,00:31:33
6.83,0.0,00:32:06
6.75,-1.17130307,00:32:39
6.82,1.03703704,00:33:12
6.83,0.14662757,00:33:45
6.87,0.58565154,00:34:18
6.87,0.0,00:34:51
6.87,0.0,00:35:23
6.87,0.0,00:35:56
6.87,0.0,00:36:29
6.87,0.0,00:37:01
6.87,0.0,00:37:34
6.87,0.0,00:38:08
6.87,0.0,00:38:40
6.87,0.0,00:39:13
6.87,0.0,00:39:45
6.87,0.0,00:40:19
6.87,0.0,00:40:51
6.87,0.0,00:41:24
6.87,0.0,00:41:57
6.87,0.0,00:42:30
6.87,0.0,00:43:03
6.87,0.0,00:43:35
6.77,-1.45560408,00:44:08
6.77,0.0,00:44:41
6.77,0.0,00:45:13
6.77,0.0,00:45:47
6.75,-0.29542097,00:46:20
6.75,0.0,00:46:52
6.75,0.0,00:47:25
6.75,0.0,00:47:57
6.75,0.0,00:48:30
6.75,0.0,00:49:03
6.75,0.0,00:49:36
6.75,0.0,00:50:09
6.75,0.0,00:50:42
6.75,0.0,00:51:15
6.75,0.0,00:51:48
6.75,0.0,00:52:21
6.75,0.0,00:52:54
6.75,0.0,00:53:27
6.75,0.0,00:54:00
6.75,0.0,00:54:33
6.75,0.0,00:55:06
6.75,0.0,00:55:39
6.75,0.0,00:56:11
6.75,0.0,00:56:44
6.75,0.0,00:57:17
6.75,0.0,00:57:51
6.75,0.0,00:58:23
6.75,0.0,00:58:56
6.75,0.0,00:59:29
6.75,0.0,01:00:02
6.75,0.0,01:00:35
6.75,0.0,01:01:08
6.75,0.0,01:01:42
6.75,0.0,01:02:14
6.75,0.0,01:02:48
6.75,0.0,01:03:21
6.75,0.0,01:03:54
6.75,0.0,01:04:26
6.75,0.0,01:04:59
6.75,0.0,01:05:32
6.75,0.0,01:06:05
6.75,0.0,01:06:38
6.75,0.0,01:07:11
6.75,0.0,01:07:44
6.75,0.0,01:08:17
6.75,0.0,01:08:50
6.75,0.0,01:09:23
6.75,0.0,01:09:56
6.75,0.0,01:10:28
6.75,0.0,01:11:01
6.75,0.0,01:11:34
6.75,0.0,01:12:06
6.75,0.0,01:12:39
6.75,0.0,01:13:12
6.75,0.0,01:13:45
6.75,0.0,01:14:17
6.75,0.0,01:14:50
6.75,0.0,01:15:23
6.75,0.0,01:15:56
6.75,0.0,01:16:29
6.75,0.0,01:17:02
6.75,0.0,01:17:34
6.75,0.0,01:18:07
6.75,0.0,01:18:40
6.75,0.0,01:19:13
6.75,0.0,01:19:47
6.75,0.0,01:20:20
6.75,0.0,01:20:53
6.75,0.0,01:21:26
6.75,0.0,01:21:58
6.75,0.0,01:22:32
6.75,0.0,01:23:05
6.75,0.0,01:23:37
6.75,0.0,01:24:10
6.75,0.0,01:24:44
6.75,0.0,01:25:16
6.75,0.0,01:25:49
6.75,0.0,01:26:23
6.75,0.0,01:26:56
6.75,0.0,01:27:29
6.75,0.0,01:28:01
6.75,0.0,01:28:35
6.75,0.0,01:29:07
6.75,0.0,01:29:40
6.75,0.0,01:30:13
6.75,0.0,01:30:46
6.75,0.0,01:31:19
6.75,0.0,01:31:52
6.75,0.0,01:32:25
6.75,0.0,01:32:58
6.75,0.0,01:33:30
6.75,0.0,01:34:04
6.75,0.0,01:34:37
6.75,0.0,01:35:10
6.75,0.0,01:35:43
6.75,0.0,01:36:16
6.75,0.0,01:36:49
6.75,0.0,01:37:22
6.75,0.0,01:37:55
6.75,0.0,01:38:28
6.75,0.0,01:39:00
6.75,0.0,01:39:34
6.75,0.0,01:40:07
6.75,0.0,01:40:39
6.75,0.0,01:41:13
6.75,0.0,01:41:45
6.75,0.0,01:42:18
6.75,0.0,01:42:51
6.75,0.0,01:43:23
6.75,0.0,01:43:57
6.75,0.0,01:44:30
6.75,0.0,01:45:02
6.75,0.0,01:45:35
6.75,0.0,01:46:08
6.75,0.0,01:46:41
6.75,0.0,01:47:14
6.75,0.0,01:47:47
6.75,0.0,01:48:21
6.75,0.0,01:48:54
6.75,0.0,01:49:27
6.75,0.0,01:49:59
6.75,0.0,01:50:32
6.75,0.0,01:51:05
6.75,0.0,01:51:38
6.75,0.0,01:52:11
6.75,0.0,01:52:44
6.75,0.0,01:53:17
6.75,0.0,01:53:50
6.75,0.0,01:54:23
6.75,0.0,01:54:56
6.75,0.0,01:55:29
6.75,0.0,01:56:01
6.75,0.0,01:56:35
6.75,0.0,01:57:08
6.75,0.0,01:57:40
6.75,0.0,01:58:13
6.75,0.0,01:58:46
6.75,0.0,01:59:19
6.75,0.0,01:59:52
6.75,0.0,02:00:26
6.75,0.0,02:00:59
6.75,0.0,02:01:31
6.74,-0.14814815,02:02:04
6.74,0.0,02:02:37
6.74,0.0,02:03:10
6.74,0.0,02:03:43
6.74,0.0,02:04:16
6.74,0.0,02:04:49
6.74,0.0,02:05:22
6.74,0.0,02:05:55
6.74,0.0,02:06:28
6.74,0.0,02:07:00
6.74,0.0,02:07:34
6.74,0.0,02:08:06
6.74,0.0,02:08:40
6.74,0.0,02:09:12
6.74,0.0,02:09:45
6.74,0.0,02:10:19
6.74,0.0,02:10:51
6.74,0.0,02:11:24
6.74,0.0,02:11:57
6.74,0.0,02:12:31
6.74,0.0,02:13:03
6.74,0.0,02:13:36
6.74,0.0,02:14:09
6.74,0.0,02:14:42
6.67,-1.03857567,02:15:15
6.67,0.0,02:15:48
6.67,0.0,02:16:21
6.67,0.0,02:16:54
6.67,0.0,02:17:27
6.67,0.0,02:18:00
6.67,0.0,02:18:33
6.67,0.0,02:19:07
6.67,0.0,02:19:40
6.67,0.0,02:20:13
6.67,0.0,02:20:45
6.67,0.0,02:21:19
6.67,0.0,02:21:52
6.67,0.0,02:22:25
6.64,-0.44977511,02:22:57
6.64,0.0,02:23:31
6.64,0.0,02:24:03
6.64,0.0,02:24:36
6.64,0.0,02:25:09
6.64,0.0,02:25:42
6.64,0.0,02:26:15
6.64,0.0,02:26:48
6.64,0.0,02:27:21
6.64,0.0,02:27:54
6.64,0.0,02:28:27
6.64,0.0,02:29:00
6.64,0.0,02:29:33
6.64,0.0,02:30:06
6.64,0.0,02:31:15
6.64,0.0,02:31:49
6.64,0.0,02:32:22
6.64,0.0,02:32:54
6.64,0.0,02:33:27
6.64,0.0,02:34:00
6.64,0.0,02:34:33
6.64,0.0,02:35:06
6.64,0.0,02:35:39
6.64,0.0,02:36:12
6.64,0.0,02:36:45
6.64,0.0,02:37:18
6.64,0.0,02:37:51
6.64,0.0,02:38:24
6.64,0.0,02:38:57
6.64,0.0,02:39:29
6.64,0.0,02:40:02
6.64,0.0,02:40:35
6.64,0.0,02:41:08
6.64,0.0,02:41:42
6.64,0.0,02:42:15
6.64,0.0,02:42:48
6.64,0.0,02:43:21
6.64,0.0,02:43:54
6.64,0.0,02:44:27
6.64,0.0,02:45:00
6.65,0.15060241,02:45:33
6.65,0.0,02:46:05
6.65,0.0,02:46:39
6.65,0.0,02:47:12
6.65,0.0,02:47:45
6.65,0.0,02:48:18
6.65,0.0,02:48:52
6.65,0.0,02:49:24
6.65,0.0,02:49:57
