bch_mxn,Porcentage,Time
7964.0,0.0,00:19:28
7964.0,0.0,00:20:01
7964.0,0.0,00:20:34
7964.0,0.0,00:21:07
7964.0,0.0,00:21:40
7964.0,0.0,00:22:13
7964.0,0.0,00:22:47
7964.0,0.0,00:23:19
7964.0,0.0,00:23:52
7964.0,0.0,00:24:25
7964.03,0.0003767,00:24:58
7964.03,0.0,00:25:31
7964.03,0.0,00:26:04
7964.0,-0.00037669,00:26:37
7964.0,0.0,00:27:10
7964.0,0.0,00:27:42
7964.0,0.0,00:28:15
7964.0,0.0,00:28:49
8198.97,2.95040181,00:29:21
8198.97,0.0,00:29:55
7964.0,-2.86584778,00:30:28
7964.0,0.0,00:31:01
7964.0,0.0,00:31:33
7964.0,0.0,00:32:06
7964.0,0.0,00:32:39
7964.0,0.0,00:33:12
7964.0,0.0,00:33:45
8198.97,2.95040181,00:34:18
8198.97,0.0,00:34:51
8198.97,0.0,00:35:23
7964.03,-2.86548188,00:35:56
7964.03,0.0,00:36:29
7964.03,0.0,00:37:01
7964.03,0.0,00:37:34
7964.03,0.0,00:38:08
7964.03,0.0,00:38:40
7964.03,0.0,00:39:13
7964.03,0.0,00:39:45
7964.03,0.0,00:40:19
7964.03,0.0,00:40:51
7964.03,0.0,00:41:24
7964.03,0.0,00:41:57
7964.03,0.0,00:42:30
7964.03,0.0,00:43:03
7964.03,0.0,00:43:35
7964.03,0.0,00:44:08
7964.03,0.0,00:44:41
7964.03,0.0,00:45:13
7964.03,0.0,00:45:47
7964.03,0.0,00:46:20
7964.03,0.0,00:46:52
7964.03,0.0,00:47:25
7964.03,0.0,00:47:57
7964.03,0.0,00:48:30
7964.03,0.0,00:49:03
7964.03,0.0,00:49:36
7964.03,0.0,00:50:09
7964.03,0.0,00:50:42
7964.03,0.0,00:51:15
7964.03,0.0,00:51:48
7964.03,0.0,00:52:21
7964.03,0.0,00:52:54
7964.03,0.0,00:53:27
7964.03,0.0,00:54:00
7964.03,0.0,00:54:33
7964.03,0.0,00:55:06
7964.03,0.0,00:55:39
7964.03,0.0,00:56:11
7964.03,0.0,00:56:44
7964.03,0.0,00:57:17
7964.0,-0.00037669,00:57:51
7950.0,-0.17579106,00:58:23
7921.0,-0.36477987,00:58:56
7921.0,0.0,00:59:29
7921.0,0.0,01:00:02
8197.56,3.49147835,01:00:35
8197.56,0.0,01:01:08
8197.56,0.0,01:01:42
8197.56,0.0,01:02:14
8197.56,0.0,01:02:48
8196.65,-0.01110086,01:03:21
8196.65,0.0,01:03:54
8196.65,0.0,01:04:26
8196.65,0.0,01:04:59
8196.65,0.0,01:05:32
8196.65,0.0,01:06:05
8196.65,0.0,01:06:38
8196.65,0.0,01:07:11
8196.65,0.0,01:07:44
8196.65,0.0,01:08:17
7900.0,-3.61916149,01:08:50
7900.0,0.0,01:09:23
7900.0,0.0,01:09:56
7900.0,0.0,01:10:28
7850.0,-0.63291139,01:11:01
7850.0,0.0,01:11:34
7850.0,0.0,01:12:06
7850.0,0.0,01:12:39
7850.0,0.0,01:13:12
7850.0,0.0,01:13:45
7850.0,0.0,01:14:17
7850.0,0.0,01:14:50
7850.0,0.0,01:15:23
7850.0,0.0,01:15:56
7850.0,0.0,01:16:29
7850.0,0.0,01:17:02
7850.0,0.0,01:17:34
7850.0,0.0,01:18:07
7850.0,0.0,01:18:40
7850.0,0.0,01:19:13
7850.0,0.0,01:19:47
7850.0,0.0,01:20:20
7850.0,0.0,01:20:53
7850.0,0.0,01:21:26
7850.0,0.0,01:21:58
7850.0,0.0,01:22:32
7850.0,0.0,01:23:05
7850.0,0.0,01:23:37
7850.0,0.0,01:24:10
7850.0,0.0,01:24:44
7850.0,0.0,01:25:16
7850.0,0.0,01:25:49
7850.0,0.0,01:26:23
7850.0,0.0,01:26:56
7850.0,0.0,01:27:29
7850.0,0.0,01:28:01
7850.0,0.0,01:28:35
