eth_mxn,Porcentage,Time
4950.0,0.0,00:19:28
4950.0,0.0,00:20:01
4950.0,0.0,00:20:34
4950.0,0.0,00:21:07
4950.0,0.0,00:21:40
4950.0,0.0,00:22:13
4950.0,0.0,00:22:47
4950.0,0.0,00:23:19
4950.0,0.0,00:23:52
4950.0,0.0,00:24:25
4950.0,0.0,00:24:58
4950.0,0.0,00:25:31
4950.0,0.0,00:26:04
4950.0,0.0,00:26:37
4950.0,0.0,00:27:10
4950.0,0.0,00:27:42
4950.0,0.0,00:28:15
4950.0,0.0,00:28:49
4950.0,0.0,00:29:21
4950.0,0.0,00:29:55
4950.0,0.0,00:30:28
4950.0,0.0,00:31:01
4949.0,-0.02020202,00:31:33
4929.0,-0.40412204,00:32:06
4929.0,0.0,00:32:39
4929.0,0.0,00:33:12
4950.0,0.42604991,00:33:45
4950.0,0.0,00:34:18
4950.0,0.0,00:34:51
4950.0,0.0,00:35:23
4950.0,0.0,00:35:56
4989.32,0.79434343,00:36:29
4989.32,0.0,00:37:01
4989.32,0.0,00:37:34
4989.32,0.0,00:38:08
4989.32,0.0,00:38:40
4989.32,0.0,00:39:13
4989.32,0.0,00:39:45
4989.32,0.0,00:40:19
4989.32,0.0,00:40:51
4989.32,0.0,00:41:24
4989.32,0.0,00:41:57
4989.32,0.0,00:42:30
4989.32,0.0,00:43:03
4989.32,0.0,00:43:35
4989.32,0.0,00:44:08
4989.33,0.00020043,00:44:41
4989.33,0.0,00:45:13
4989.33,0.0,00:45:47
4989.33,0.0,00:46:20
4929.0,-1.20918039,00:46:52
4929.0,0.0,00:47:25
4929.0,0.0,00:47:57
4929.0,0.0,00:48:30
4929.0,0.0,00:49:03
4929.0,0.0,00:49:36
4929.0,0.0,00:50:09
4929.0,0.0,00:50:42
4929.0,0.0,00:51:15
4929.0,0.0,00:51:48
4929.0,0.0,00:52:21
4929.0,0.0,00:52:54
4929.0,0.0,00:53:27
4929.0,0.0,00:54:00
4929.0,0.0,00:54:33
4929.0,0.0,00:55:06
4929.0,0.0,00:55:39
4929.0,0.0,00:56:11
4925.0,-0.08115236,00:56:44
4925.0,0.0,00:57:17
4925.0,0.0,00:57:51
4925.0,0.0,00:58:23
4925.0,0.0,00:58:56
4925.0,0.0,00:59:29
4925.0,0.0,01:00:02
4925.0,0.0,01:00:35
4925.0,0.0,01:01:08
4925.0,0.0,01:01:42
4975.4,1.02335025,01:02:14
4975.4,0.0,01:02:48
4975.4,0.0,01:03:21
4975.4,0.0,01:03:54
4975.4,0.0,01:04:26
4975.4,0.0,01:04:59
4975.4,0.0,01:05:32
4865.0,-2.21891707,01:06:05
4865.0,0.0,01:06:38
4865.0,0.0,01:07:11
4865.0,0.0,01:07:44
4865.0,0.0,01:08:17
4865.0,0.0,01:08:50
4865.0,0.0,01:09:23
4948.97,1.72600206,01:09:56
4948.97,0.0,01:10:28
4948.97,0.0,01:11:01
4948.97,0.0,01:11:34
4948.97,0.0,01:12:06
4948.97,0.0,01:12:39
4948.97,0.0,01:13:12
4948.97,0.0,01:13:45
4948.97,0.0,01:14:17
4948.97,0.0,01:14:50
4948.97,0.0,01:15:23
4948.97,0.0,01:15:56
4948.97,0.0,01:16:29
4948.97,0.0,01:17:02
4948.97,0.0,01:17:34
4948.97,0.0,01:18:07
4948.97,0.0,01:18:40
4948.97,0.0,01:19:13
4948.97,0.0,01:19:47
4948.97,0.0,01:20:20
4948.97,0.0,01:20:53
4948.97,0.0,01:21:26
4948.97,0.0,01:21:58
4948.97,0.0,01:22:32
4948.97,0.0,01:23:05
4948.97,0.0,01:23:37
4948.97,0.0,01:24:10
4948.97,0.0,01:24:44
4948.97,0.0,01:25:16
4948.97,0.0,01:25:49
4948.97,0.0,01:26:23
4948.97,0.0,01:26:56
4948.97,0.0,01:27:29
4948.97,0.0,01:28:01
4948.97,0.0,01:28:35
4948.97,0.0,01:29:07
4867.01,-1.65610218,01:29:40
4867.01,0.0,01:30:13
4867.01,0.0,01:30:46
4929.0,1.27367727,01:31:19
4929.0,0.0,01:31:52
4929.0,0.0,01:32:25
4929.0,0.0,01:32:58
4929.0,0.0,01:33:30
4928.97,-0.00060864,01:34:04
4928.97,0.0,01:34:37
4928.97,0.0,01:35:10
4928.97,0.0,01:35:43
4928.97,0.0,01:36:16
4928.97,0.0,01:36:49
4928.97,0.0,01:37:22
4928.97,0.0,01:37:55
4928.97,0.0,01:38:28
4928.97,0.0,01:39:00
4928.97,0.0,01:39:34
4928.97,0.0,01:40:07
4928.97,0.0,01:40:39
4928.97,0.0,01:41:13
4928.94,-0.00060865,01:41:45
4928.94,0.0,01:42:18
4928.97,0.00060865,01:42:51
4928.97,0.0,01:43:23
4928.97,0.0,01:43:57
4928.97,0.0,01:44:30
4928.97,0.0,01:45:02
4928.97,0.0,01:45:35
4928.97,0.0,01:46:08
4928.97,0.0,01:46:41
4928.97,0.0,01:47:14
4928.97,0.0,01:47:47
4928.97,0.0,01:48:21
4928.97,0.0,01:48:54
4928.97,0.0,01:49:27
4928.97,0.0,01:49:59
4928.97,0.0,01:50:32
4928.97,0.0,01:51:05
4928.97,0.0,01:51:38
4928.97,0.0,01:52:11
4928.97,0.0,01:52:44
4928.97,0.0,01:53:17
4928.97,0.0,01:53:50
4928.97,0.0,01:54:23
4928.97,0.0,01:54:56
4928.97,0.0,01:55:29
4928.97,0.0,01:56:01
4928.97,0.0,01:56:35
4928.97,0.0,01:57:08
4928.97,0.0,01:57:40
4928.97,0.0,01:58:13
4928.97,0.0,01:58:46
4928.97,0.0,01:59:19
4928.97,0.0,01:59:52
4928.97,0.0,02:00:26
4928.97,0.0,02:00:59
4928.97,0.0,02:01:31
4928.97,0.0,02:02:04
4928.97,0.0,02:02:37
4928.97,0.0,02:03:10
4867.01,-1.25705776,02:03:43
4867.01,0.0,02:04:16
4867.01,0.0,02:04:49
4867.01,0.0,02:05:22
4867.01,0.0,02:05:55
4867.01,0.0,02:06:28
4867.01,0.0,02:07:00
4867.01,0.0,02:07:34
4867.01,0.0,02:08:06
4867.01,0.0,02:08:40
4867.01,0.0,02:09:12
4867.01,0.0,02:09:45
4867.01,0.0,02:10:19
4867.01,0.0,02:10:51
4867.01,0.0,02:11:24
4867.01,0.0,02:11:57
4867.01,0.0,02:12:31
4867.01,0.0,02:13:03
4867.01,0.0,02:13:36
4867.01,0.0,02:14:09
4867.01,0.0,02:14:42
4867.01,0.0,02:15:15
4867.01,0.0,02:15:48
4867.01,0.0,02:16:21
4867.01,0.0,02:16:54
4928.97,1.27306087,02:17:27
4928.97,0.0,02:18:00
4928.97,0.0,02:18:33
4928.97,0.0,02:19:07
4928.97,0.0,02:19:40
4928.97,0.0,02:20:13
4928.97,0.0,02:20:45
4928.97,0.0,02:21:19
4928.97,0.0,02:21:52
4928.97,0.0,02:22:25
4928.97,0.0,02:22:57
4867.0,-1.25726064,02:23:31
4867.0,0.0,02:24:03
4867.0,0.0,02:24:36
4867.0,0.0,02:25:09
4867.0,0.0,02:25:42
4867.0,0.0,02:26:15
4867.0,0.0,02:26:48
4867.0,0.0,02:27:21
4867.0,0.0,02:27:54
4867.0,0.0,02:28:27
4867.0,0.0,02:29:00
4867.0,0.0,02:29:33
4867.0,0.0,02:30:06
4867.0,0.0,02:30:39
4867.0,0.0,02:31:15
4867.0,0.0,02:31:49
4867.0,0.0,02:32:22
4867.0,0.0,02:32:54
4867.0,0.0,02:33:27
4867.0,0.0,02:34:00
4867.0,0.0,02:34:33
4867.0,0.0,02:35:06
4867.0,0.0,02:35:39
4867.0,0.0,02:36:12
4867.0,0.0,02:36:45
4867.0,0.0,02:37:18
4867.0,0.0,02:37:51
4867.0,0.0,02:38:24
4867.0,0.0,02:38:57
4867.0,0.0,02:39:29
4867.0,0.0,02:40:02
4867.0,0.0,02:40:35
4867.0,0.0,02:41:08
4867.0,0.0,02:41:42
4867.0,0.0,02:42:15
4867.0,0.0,02:42:48
4867.0,0.0,02:43:21
4867.0,0.0,02:43:54
4900.0,0.67803575,02:44:27
4900.0,0.0,02:45:00
4900.0,0.0,02:45:33
4900.0,0.0,02:46:05
4900.0,0.0,02:46:39
4900.0,0.0,02:47:12
4900.0,0.0,02:47:45
4900.0,0.0,02:48:18
4900.0,0.0,02:48:52
4900.0,0.0,02:49:24
4900.0,0.0,02:49:57
4900.0,0.0,02:50:31
4900.0,0.0,02:51:04
4900.0,0.0,02:51:37
4900.0,0.0,02:52:10
4900.0,0.0,02:52:43
4900.0,0.0,02:53:15
4900.0,0.0,02:53:49
4900.0,0.0,02:54:22
4900.0,0.0,02:54:55
4900.0,0.0,02:55:29
4900.0,0.0,02:56:02
4900.0,0.0,02:56:34
4900.0,0.0,02:57:07
4900.0,0.0,02:57:41
4900.0,0.0,02:58:14
4900.0,0.0,02:58:48
4900.0,0.0,02:59:21
4900.0,0.0,02:59:54
4900.0,0.0,03:00:27
4900.0,0.0,03:01:00
4867.0,-0.67346939,03:01:34
4867.0,0.0,03:02:07
4867.0,0.0,03:02:41
4867.0,0.0,03:03:14
4867.0,0.0,03:03:48
4867.0,0.0,03:04:21
4867.0,0.0,03:04:54
4867.0,0.0,03:05:27
4949.0,1.68481611,03:06:00
4949.0,0.0,03:06:33
4949.0,0.0,03:07:06
4949.0,0.0,03:07:39
4949.0,0.0,03:08:12
4949.0,0.0,03:08:45
4949.0,0.0,03:09:19
4949.0,0.0,03:09:52
4949.0,0.0,03:10:24
4949.0,0.0,03:10:57
4949.0,0.0,03:11:30
4948.97,-0.00060618,03:12:03
4867.94,-1.63731039,03:12:36
4867.94,0.0,03:13:10
4867.94,0.0,03:13:43
4989.32,2.49345719,03:14:15
4989.32,0.0,03:14:49
4989.32,0.0,03:15:22
4989.32,0.0,03:15:55
4989.32,0.0,03:16:28
4989.32,0.0,03:17:01
4988.36,-0.0192411,03:17:35
4988.36,0.0,03:18:08
4988.36,0.0,03:18:41
4988.36,0.0,03:19:15
4988.36,0.0,03:19:48
4988.36,0.0,03:20:21
4988.36,0.0,03:20:55
4988.36,0.0,03:21:28
4988.36,0.0,03:22:01
4988.36,0.0,03:22:35
4988.36,0.0,03:23:08
4988.36,0.0,03:23:41
4988.36,0.0,03:24:15
4988.36,0.0,03:24:48
4988.36,0.0,03:25:22
4988.36,0.0,03:25:55
4988.36,0.0,03:26:28
4988.36,0.0,03:27:02
4988.36,0.0,03:27:35
4988.36,0.0,03:28:08
4988.36,0.0,03:28:41
