xrp_mxn,Porcentage,Time
8.3,0.0,00:19:28
8.3,0.0,00:20:01
8.3,0.0,00:20:34
8.3,0.0,00:21:07
8.3,0.0,00:21:40
8.3,0.0,00:22:13
8.3,0.0,00:22:47
8.3,0.0,00:23:19
8.3,0.0,00:23:52
8.29,-0.12048193,00:24:25
8.29,0.0,00:24:58
8.29,0.0,00:25:31
8.2,-1.08564536,00:26:04
8.29,1.09756098,00:26:37
8.29,0.0,00:27:10
8.29,0.0,00:27:42
8.29,0.0,00:28:15
8.29,0.0,00:28:49
8.29,0.0,00:29:21
8.29,0.0,00:29:55
8.29,0.0,00:30:28
8.21,-0.96501809,00:31:01
8.21,0.0,00:31:33
8.21,0.0,00:32:06
8.26,0.6090134,00:32:39
8.26,0.0,00:33:12
8.2,-0.72639225,00:33:45
8.2,0.0,00:34:18
8.27,0.85365854,00:34:51
8.27,0.0,00:35:23
8.27,0.0,00:35:56
8.27,0.0,00:36:29
8.27,0.0,00:37:01
8.27,0.0,00:37:34
8.27,0.0,00:38:08
8.27,0.0,00:38:40
8.27,0.0,00:39:13
8.27,0.0,00:39:45
8.27,0.0,00:40:19
8.27,0.0,00:40:51
8.27,0.0,00:41:24
8.27,0.0,00:41:57
8.2,-0.84643289,00:42:30
8.2,0.0,00:43:03
8.2,0.0,00:43:35
8.2,0.0,00:44:08
8.2,0.0,00:44:41
8.2,0.0,00:45:13
8.2,0.0,00:45:47
8.2,0.0,00:46:20
8.2,0.0,00:46:52
8.2,0.0,00:47:25
8.2,0.0,00:47:57
8.2,0.0,00:48:30
8.2,0.0,00:49:03
8.2,0.0,00:49:36
8.2,0.0,00:50:09
8.2,0.0,00:50:42
8.2,0.0,00:51:15
8.2,0.0,00:51:48
8.2,0.0,00:52:21
8.2,0.0,00:52:54
8.2,0.0,00:53:27
8.19,-0.12195122,00:54:00
8.19,0.0,00:54:33
8.19,0.0,00:55:06
8.19,0.0,00:55:39
8.19,0.0,00:56:11
8.19,0.0,00:56:44
8.19,0.0,00:57:17
8.2,0.12210012,00:57:51
8.24,0.48780488,00:58:23
8.19,-0.60679612,00:58:56
8.19,0.0,00:59:29
8.19,0.0,01:00:02
8.19,0.0,01:00:35
8.18,-0.12210012,01:01:08
8.18,0.0,01:01:42
8.23,0.61124694,01:02:14
8.17,-0.7290401,01:02:48
8.17,0.0,01:03:21
8.17,0.0,01:03:54
8.17,0.0,01:04:26
8.17,0.0,01:04:59
8.17,0.0,01:05:32
8.17,0.0,01:06:05
8.25,0.97919217,01:06:38
8.17,-0.96969697,01:07:11
8.17,0.0,01:07:44
8.17,0.0,01:08:17
8.17,0.0,01:08:50
8.26,1.10159119,01:09:23
8.26,0.0,01:09:56
8.26,0.0,01:10:28
8.26,0.0,01:11:01
8.25,-0.12106538,01:11:34
8.25,0.0,01:12:06
8.25,0.0,01:12:39
8.25,0.0,01:13:12
8.25,0.0,01:13:45
8.25,0.0,01:14:17
8.15,-1.21212121,01:14:50
8.15,0.0,01:15:23
8.15,0.0,01:15:56
8.15,0.0,01:16:29
8.15,0.0,01:17:02
8.15,0.0,01:17:34
8.15,0.0,01:18:07
8.15,0.0,01:18:40
8.15,0.0,01:19:13
8.23,0.98159509,01:19:47
8.15,-0.97205346,01:20:20
8.15,0.0,01:20:53
8.15,0.0,01:21:26
8.15,0.0,01:21:58
8.16,0.12269939,01:22:32
8.16,0.0,01:23:05
8.16,0.0,01:23:37
8.16,0.0,01:24:10
8.16,0.0,01:24:44
8.16,0.0,01:25:16
8.16,0.0,01:25:49
8.16,0.0,01:26:23
8.16,0.0,01:26:56
8.16,0.0,01:27:29
8.16,0.0,01:28:01
8.16,0.0,01:28:35
8.16,0.0,01:29:07
8.16,0.0,01:29:40
8.16,0.0,01:30:13
8.16,0.0,01:30:46
8.16,0.0,01:31:19
8.16,0.0,01:31:52
8.16,0.0,01:32:25
8.16,0.0,01:32:58
8.14,-0.24509804,01:33:30
8.14,0.0,01:34:04
8.13,-0.12285012,01:34:37
8.12,-0.12300123,01:35:10
8.12,0.0,01:35:43
8.12,0.0,01:36:16
8.12,0.0,01:36:49
8.12,0.0,01:37:22
8.1,-0.24630542,01:37:55
8.1,0.0,01:38:28
8.15,0.61728395,01:39:00
8.15,0.0,01:39:34
8.19,0.49079755,01:40:07
8.19,0.0,01:40:39
8.19,0.0,01:41:13
8.19,0.0,01:41:45
8.19,0.0,01:42:18
8.19,0.0,01:42:51
8.19,0.0,01:43:23
8.19,0.0,01:43:57
8.11,-0.97680098,01:44:30
8.11,0.0,01:45:02
8.11,0.0,01:45:35
8.11,0.0,01:46:08
8.11,0.0,01:46:41
8.12,0.12330456,01:47:14
8.21,1.10837438,01:47:47
8.21,0.0,01:48:21
8.21,0.0,01:48:54
8.21,0.0,01:49:27
8.21,0.0,01:49:59
8.21,0.0,01:50:32
8.24,0.36540804,01:51:05
8.24,0.0,01:51:38
8.24,0.0,01:52:11
8.24,0.0,01:52:44
8.24,0.0,01:53:17
8.24,0.0,01:53:50
8.24,0.0,01:54:23
8.24,0.0,01:54:56
8.19,-0.60679612,01:55:29
8.19,0.0,01:56:01
8.19,0.0,01:56:35
8.19,0.0,01:57:08
8.19,0.0,01:57:40
8.19,0.0,01:58:13
8.19,0.0,01:58:46
8.19,0.0,01:59:19
8.19,0.0,01:59:52
8.19,0.0,02:00:26
8.18,-0.12210012,02:00:59
8.18,0.0,02:01:31
8.18,0.0,02:02:04
8.18,0.0,02:02:37
8.18,0.0,02:03:10
8.18,0.0,02:03:43
8.18,0.0,02:04:16
8.23,0.61124694,02:04:49
8.23,0.0,02:05:22
8.13,-1.21506683,02:05:55
8.13,0.0,02:06:28
8.13,0.0,02:07:00
8.13,0.0,02:07:34
8.13,0.0,02:08:06
8.13,0.0,02:08:40
8.13,0.0,02:09:12
8.13,0.0,02:09:45
8.13,0.0,02:10:19
8.13,0.0,02:10:51
8.13,0.0,02:11:24
8.13,0.0,02:11:57
8.13,0.0,02:12:31
8.13,0.0,02:13:03
8.11,-0.24600246,02:13:36
8.11,0.0,02:14:09
8.1,-0.12330456,02:14:42
8.06,-0.49382716,02:15:15
8.06,0.0,02:15:48
8.06,0.0,02:16:21
8.06,0.0,02:16:54
8.06,0.0,02:17:27
8.06,0.0,02:18:00
8.06,0.0,02:18:33
8.06,0.0,02:19:07
8.06,0.0,02:19:40
8.06,0.0,02:20:13
8.06,0.0,02:20:45
8.06,0.0,02:21:19
8.06,0.0,02:21:52
8.06,0.0,02:22:25
8.06,0.0,02:22:57
8.06,0.0,02:23:31
8.06,0.0,02:24:03
8.18,1.48883375,02:24:36
8.18,0.0,02:25:09
8.18,0.0,02:25:42
8.18,0.0,02:26:15
8.18,0.0,02:26:48
8.18,0.0,02:27:21
8.18,0.0,02:27:54
8.18,0.0,02:28:27
8.18,0.0,02:29:00
8.18,0.0,02:29:33
8.18,0.0,02:30:06
8.18,0.0,02:30:39
8.18,0.0,02:31:15
