mana_mxn,Porcentage,Time
1.05,0.0,00:01:07
1.05,0.0,00:01:40
1.05,0.0,00:02:14
1.05,0.0,00:02:48
1.06,0.95238095,00:03:21
1.06,0.0,00:03:54
1.06,0.0,00:04:28
1.06,0.0,00:05:01
1.06,0.0,00:05:35
1.06,0.0,00:06:08
1.06,0.0,00:06:41
1.06,0.0,00:07:15
1.06,0.0,00:07:48
1.06,0.0,00:08:21
1.06,0.0,00:08:55
1.06,0.0,00:09:28
1.06,0.0,00:10:02
1.06,0.0,00:10:35
1.06,0.0,00:11:08
1.06,0.0,00:11:42
1.07,0.94339623,00:12:15
1.07,0.0,00:12:48
1.07,0.0,00:13:22
1.07,0.0,00:13:55
1.07,0.0,00:14:28
1.07,0.0,00:15:02
1.07,0.0,00:15:36
1.09,1.86915888,00:16:09
1.09,0.0,00:16:43
1.09,0.0,00:17:17
1.09,0.0,00:17:50
1.09,0.0,00:18:24
1.09,0.0,00:18:58
1.09,0.0,00:19:32
1.09,0.0,00:20:05
1.09,0.0,00:20:39
1.09,0.0,00:21:12
1.09,0.0,00:21:46
1.09,0.0,00:22:20
1.06,-2.75229358,00:22:54
1.06,0.0,00:23:27
1.06,0.0,00:24:00
1.06,0.0,00:24:34
1.06,0.0,00:25:07
1.06,0.0,00:25:41
1.06,0.0,00:26:14
1.08,1.88679245,00:26:48
1.08,0.0,00:27:21
1.08,0.0,00:27:54
1.08,0.0,00:28:28
1.08,0.0,00:29:01
1.08,0.0,00:29:34
1.05,-2.77777778,00:30:08
1.05,0.0,00:30:41
1.08,2.85714286,00:31:14
1.08,0.0,00:31:48
1.08,0.0,00:32:21
1.08,0.0,00:32:54
1.08,0.0,00:33:27
1.08,0.0,00:34:00
1.08,0.0,00:34:33
1.08,0.0,00:35:06
1.08,0.0,00:35:39
1.08,0.0,00:36:13
1.08,0.0,00:36:46
1.08,0.0,00:37:19
1.08,0.0,00:37:52
1.08,0.0,00:38:26
1.08,0.0,00:38:59
1.08,0.0,00:39:32
1.08,0.0,00:40:05
1.08,0.0,00:40:39
1.08,0.0,00:41:12
1.08,0.0,00:41:45
1.08,0.0,00:42:18
1.08,0.0,00:42:52
1.08,0.0,00:43:25
1.08,0.0,00:43:58
1.08,0.0,00:44:31
1.08,0.0,00:45:04
1.08,0.0,00:45:37
1.08,0.0,00:46:11
1.08,0.0,00:46:44
1.08,0.0,00:47:17
1.08,0.0,00:47:50
1.08,0.0,00:48:23
1.05,-2.77777778,00:48:57
1.05,0.0,00:49:30
1.05,0.0,00:50:03
1.05,0.0,00:50:37
1.05,0.0,00:51:10
1.05,0.0,00:51:43
1.05,0.0,00:52:16
1.05,0.0,00:52:49
1.05,0.0,00:53:22
1.05,0.0,00:53:55
1.05,0.0,00:54:28
1.05,0.0,00:55:02
1.07,1.9047619,00:55:35
1.05,-1.86915888,00:56:08
1.05,0.0,00:56:42
1.05,0.0,00:57:15
1.05,0.0,00:57:49
1.05,0.0,00:58:22
1.05,0.0,00:58:55
1.05,0.0,00:59:28
1.07,1.9047619,01:00:01
1.07,0.0,01:00:34
1.07,0.0,01:01:08
1.07,0.0,01:01:41
1.07,0.0,01:02:13
1.07,0.0,01:02:47
1.07,0.0,01:03:20
1.07,0.0,01:03:53
1.07,0.0,01:04:26
1.07,0.0,01:05:00
1.07,0.0,01:05:33
1.07,0.0,01:06:07
1.07,0.0,01:06:40
1.07,0.0,01:07:14
1.07,0.0,01:07:47
1.05,-1.86915888,01:08:20
1.05,0.0,01:08:53
1.05,0.0,01:09:27
1.05,0.0,01:10:00
1.05,0.0,01:10:34
1.05,0.0,01:11:07
1.05,0.0,01:11:40
1.05,0.0,01:12:13
1.05,0.0,01:12:47
1.05,0.0,01:13:20
1.05,0.0,01:13:53
1.05,0.0,01:14:27
1.05,0.0,01:15:00
1.05,0.0,01:15:33
1.05,0.0,01:16:06
1.05,0.0,01:16:39
1.05,0.0,01:17:13
1.05,0.0,01:17:46
1.05,0.0,01:18:19
1.05,0.0,01:18:53
1.05,0.0,01:19:26
1.05,0.0,01:19:59
1.05,0.0,01:20:32
1.05,0.0,01:21:06
1.05,0.0,01:21:39
1.05,0.0,01:22:12
1.05,0.0,01:22:46
1.05,0.0,01:23:20
1.05,0.0,01:23:52
1.05,0.0,01:24:26
1.05,0.0,01:24:59
1.05,0.0,01:25:32
1.05,0.0,01:26:05
1.05,0.0,01:26:39
1.05,0.0,01:27:11
1.05,0.0,01:27:45
1.05,0.0,01:28:18
1.05,0.0,01:28:51
1.05,0.0,01:29:23
1.05,0.0,01:29:57
1.05,0.0,01:30:30
1.05,0.0,01:31:03
1.05,0.0,01:31:37
1.08,2.85714286,01:32:10
1.05,-2.77777778,01:32:43
1.05,0.0,01:33:16
1.06,0.95238095,01:33:49
1.06,0.0,01:34:22
1.06,0.0,01:34:55
1.06,0.0,01:35:28
1.06,0.0,01:36:01
1.06,0.0,01:36:33
1.06,0.0,01:37:07
1.06,0.0,01:37:40
1.06,0.0,01:38:13
1.06,0.0,01:38:46
1.06,0.0,01:39:20
1.06,0.0,01:39:53
1.06,0.0,01:40:26
1.06,0.0,01:41:00
1.05,-0.94339623,01:41:33
1.05,0.0,01:42:06
1.05,0.0,01:42:40
1.05,0.0,01:43:13
1.05,0.0,01:43:47
1.05,0.0,01:44:21
1.05,0.0,01:44:54
1.05,0.0,01:45:28
1.05,0.0,01:46:01
1.05,0.0,01:46:34
1.05,0.0,01:47:07
1.05,0.0,01:47:41
1.05,0.0,01:48:14
1.05,0.0,01:48:48
1.05,0.0,01:49:21
1.05,0.0,01:49:54
1.05,0.0,01:50:27
1.05,0.0,01:51:01
1.05,0.0,01:51:35
1.05,0.0,01:52:08
1.05,0.0,01:52:41
1.05,0.0,01:53:14
1.05,0.0,01:53:47
1.05,0.0,01:54:21
1.05,0.0,01:54:54
1.05,0.0,01:55:27
1.05,0.0,01:56:01
1.05,0.0,01:56:34
1.05,0.0,01:57:06
1.05,0.0,01:57:40
1.05,0.0,01:58:13
1.05,0.0,01:58:46
1.06,0.95238095,01:59:19
1.06,0.0,01:59:54
1.06,0.0,02:00:27
1.06,0.0,02:01:01
1.06,0.0,02:01:34
1.06,0.0,02:02:08
1.06,0.0,02:02:41
1.06,0.0,02:03:15
1.06,0.0,02:03:48
1.06,0.0,02:04:21
1.06,0.0,02:04:54
1.06,0.0,02:05:28
1.06,0.0,02:06:01
1.06,0.0,02:06:34
1.07,0.94339623,02:07:08
1.07,0.0,02:07:42
1.07,0.0,02:08:15
1.07,0.0,02:08:48
1.07,0.0,02:09:22
1.07,0.0,02:09:55
1.07,0.0,02:10:28
1.07,0.0,02:11:02
1.07,0.0,02:11:34
1.07,0.0,02:12:08
1.07,0.0,02:12:41
1.07,0.0,02:13:15
1.07,0.0,02:13:48
1.07,0.0,02:14:25
1.07,0.0,02:14:59
1.07,0.0,02:15:32
1.07,0.0,02:16:05
1.07,0.0,02:16:38
1.07,0.0,02:17:12
1.07,0.0,02:17:45
1.07,0.0,02:18:18
1.07,0.0,02:18:51
1.07,0.0,02:19:24
1.07,0.0,02:19:57
1.07,0.0,02:20:31
1.07,0.0,02:21:04
1.07,0.0,02:21:37
1.07,0.0,02:22:11
1.07,0.0,02:22:44
1.07,0.0,02:23:17
1.07,0.0,02:23:51
1.07,0.0,02:24:24
1.07,0.0,02:24:58
1.07,0.0,02:25:31
1.07,0.0,02:26:04
1.07,0.0,02:26:37
1.07,0.0,02:27:10
1.07,0.0,02:27:44
1.07,0.0,02:28:17
1.07,0.0,02:28:50
1.07,0.0,02:29:24
1.07,0.0,02:29:57
1.07,0.0,02:30:30
1.07,0.0,02:31:04
1.07,0.0,02:31:37
1.07,0.0,02:32:10
1.07,0.0,02:32:43
1.07,0.0,02:33:17
1.07,0.0,02:33:50
1.07,0.0,02:34:23
1.07,0.0,02:34:56
1.07,0.0,02:35:30
1.07,0.0,02:36:03
1.07,0.0,02:36:37
1.07,0.0,02:37:10
1.07,0.0,02:37:42
1.07,0.0,02:38:16
1.07,0.0,02:38:49
1.07,0.0,02:39:22
1.05,-1.86915888,02:39:56
1.05,0.0,02:40:29
1.05,0.0,02:41:03
1.05,0.0,02:41:36
1.05,0.0,02:42:09
1.05,0.0,02:42:42
1.05,0.0,02:43:16
1.05,0.0,02:43:49
1.05,0.0,02:44:22
1.05,0.0,02:44:55
1.05,0.0,02:45:29
1.05,0.0,02:46:02
1.05,0.0,02:46:36
1.05,0.0,02:47:09
1.05,0.0,02:47:42
1.05,0.0,02:48:15
1.05,0.0,02:48:49
1.05,0.0,02:49:22
1.05,0.0,02:49:55
1.05,0.0,02:50:29
1.05,0.0,02:51:02
1.05,0.0,02:51:35
1.05,0.0,02:52:08
1.05,0.0,02:52:42
1.05,0.0,02:53:15
1.05,0.0,02:53:48
1.05,0.0,02:54:21
1.05,0.0,02:54:54
1.05,0.0,02:55:27
1.05,0.0,02:56:01
1.05,0.0,02:56:34
1.05,0.0,02:57:07
1.05,0.0,02:57:40
1.05,0.0,02:58:14
1.05,0.0,02:58:47
1.05,0.0,02:59:20
1.05,0.0,02:59:53
1.08,2.85714286,03:00:26
1.08,0.0,03:00:59
1.08,0.0,03:01:32
1.08,0.0,03:02:05
1.08,0.0,03:02:39
1.08,0.0,03:03:12
1.08,0.0,03:03:46
1.08,0.0,03:04:19
1.08,0.0,03:04:53
1.08,0.0,03:05:26
1.08,0.0,03:05:58
1.08,0.0,03:06:31
1.08,0.0,03:07:05
1.08,0.0,03:07:38
1.08,0.0,03:08:11
1.08,0.0,03:08:44
1.08,0.0,03:09:17
1.08,0.0,03:09:50
1.08,0.0,03:10:23
1.08,0.0,03:10:57
1.08,0.0,03:11:30
1.08,0.0,03:12:04
1.08,0.0,03:12:37
1.08,0.0,03:13:10
1.08,0.0,03:13:44
1.08,0.0,03:14:17
1.08,0.0,03:14:50
1.08,0.0,03:15:24
1.08,0.0,03:15:57
1.08,0.0,03:16:29
1.08,0.0,03:17:02
1.08,0.0,03:17:35
1.08,0.0,03:18:09
1.08,0.0,03:18:42
1.08,0.0,03:19:15
1.08,0.0,03:19:49
1.08,0.0,03:20:22
1.08,0.0,03:20:55
1.08,0.0,03:21:27
1.08,0.0,03:22:01
1.08,0.0,03:22:34
1.08,0.0,03:23:07
1.08,0.0,03:23:40
1.08,0.0,03:24:14
1.08,0.0,03:24:47
1.08,0.0,03:25:20
1.08,0.0,03:25:54
1.08,0.0,03:26:27
1.08,0.0,03:27:00
1.08,0.0,03:27:33
1.08,0.0,03:28:07
1.08,0.0,03:28:40
1.08,0.0,03:29:13
1.08,0.0,03:29:46
1.08,0.0,03:30:19
1.08,0.0,03:30:52
1.08,0.0,03:31:25
1.08,0.0,03:31:59
1.08,0.0,03:32:32
1.08,0.0,03:33:05
1.08,0.0,03:33:39
1.08,0.0,03:34:11
1.08,0.0,03:34:45
1.08,0.0,03:35:18
1.08,0.0,03:35:52
1.08,0.0,03:36:25
1.08,0.0,03:36:59
1.08,0.0,03:37:32
1.08,0.0,03:38:06
1.08,0.0,03:38:39
1.08,0.0,03:39:12
1.08,0.0,03:39:46
1.08,0.0,03:40:19
1.08,0.0,03:40:51
1.08,0.0,03:41:24
1.08,0.0,03:41:57
1.08,0.0,03:42:31
1.08,0.0,03:43:04
1.08,0.0,03:43:37
1.08,0.0,03:44:10
1.08,0.0,03:44:43
1.08,0.0,03:45:16
1.08,0.0,03:45:49
1.08,0.0,03:46:23
1.08,0.0,03:46:56
1.08,0.0,03:47:30
1.08,0.0,03:48:03
1.08,0.0,03:48:35
1.08,0.0,03:49:08
1.08,0.0,03:49:42
1.08,0.0,03:50:15
1.08,0.0,03:50:49
1.08,0.0,03:51:23
1.08,0.0,03:51:56
1.08,0.0,03:52:28
1.08,0.0,03:53:02
1.08,0.0,03:53:36
1.08,0.0,03:54:09
1.08,0.0,03:54:42
1.08,0.0,03:55:15
1.08,0.0,03:55:50
1.08,0.0,03:56:23
1.08,0.0,03:56:57
1.08,0.0,03:57:30
1.08,0.0,03:58:03
1.08,0.0,03:58:37
1.08,0.0,03:59:10
1.08,0.0,03:59:44
1.08,0.0,04:00:17
1.08,0.0,04:00:50
1.08,0.0,04:01:23
1.08,0.0,04:01:56
1.08,0.0,04:02:30
1.08,0.0,04:03:03
1.08,0.0,04:03:36
1.08,0.0,04:04:09
1.08,0.0,04:04:43
1.08,0.0,04:05:17
1.08,0.0,04:05:50
1.08,0.0,04:06:23
1.08,0.0,04:06:57
1.08,0.0,04:07:30
1.08,0.0,04:08:04
1.08,0.0,04:08:37
1.08,0.0,04:09:11
1.08,0.0,04:09:44
1.08,0.0,04:10:17
1.08,0.0,04:10:51
1.08,0.0,04:11:24
1.08,0.0,04:11:58
1.08,0.0,04:12:31
1.08,0.0,04:13:05
1.08,0.0,04:13:38
1.08,0.0,04:14:12
1.08,0.0,04:14:45
1.08,0.0,04:15:19
1.08,0.0,04:15:52
1.08,0.0,04:16:26
1.08,0.0,04:16:59
1.08,0.0,04:17:32
1.06,-1.85185185,04:18:06
1.06,0.0,04:18:39
1.06,0.0,04:19:13
1.06,0.0,04:19:46
1.06,0.0,04:20:19
1.06,0.0,04:20:53
1.06,0.0,04:21:26
1.06,0.0,04:21:59
1.06,0.0,04:22:32
1.1,3.77358491,04:23:05
1.1,0.0,04:23:38
1.1,0.0,04:24:12
1.1,0.0,04:24:45
1.1,0.0,04:25:19
1.1,0.0,04:25:52
1.1,0.0,04:26:25
1.1,0.0,04:26:59
1.1,0.0,04:27:38
1.1,0.0,04:28:12
1.1,0.0,04:28:45
1.1,0.0,04:29:18
1.1,0.0,04:29:51
1.1,0.0,04:30:25
1.1,0.0,04:30:58
1.1,0.0,04:31:31
1.1,0.0,04:32:05
1.1,0.0,04:32:38
1.1,0.0,04:33:11
1.1,0.0,04:33:44
1.1,0.0,04:34:18
1.1,0.0,04:34:51
1.1,0.0,04:35:24
1.1,0.0,04:35:57
1.1,0.0,04:36:30
1.1,0.0,04:37:03
1.1,0.0,04:37:36
1.06,-3.63636364,04:38:09
1.06,0.0,04:38:42
1.06,0.0,04:39:15
1.06,0.0,04:39:49
1.06,0.0,04:40:22
1.06,0.0,04:40:55
1.06,0.0,04:41:28
1.06,0.0,04:42:02
1.06,0.0,04:42:35
1.06,0.0,04:43:09
1.06,0.0,04:43:42
1.06,0.0,04:44:15
1.06,0.0,04:44:49
1.06,0.0,04:45:22
1.06,0.0,04:45:56
1.06,0.0,04:46:29
1.06,0.0,04:47:03
1.06,0.0,04:47:36
1.06,0.0,04:48:10
1.06,0.0,04:48:43
1.06,0.0,04:49:17
1.06,0.0,04:49:50
1.06,0.0,04:50:24
1.06,0.0,04:50:57
1.06,0.0,04:51:31
1.06,0.0,04:52:04
1.06,0.0,04:52:38
1.06,0.0,04:53:12
1.06,0.0,04:53:45
1.06,0.0,04:54:19
1.06,0.0,04:54:52
1.06,0.0,04:55:26
1.06,0.0,04:55:59
1.06,0.0,04:56:33
1.06,0.0,04:57:06
1.06,0.0,04:57:40
1.06,0.0,04:58:13
1.06,0.0,04:58:47
1.06,0.0,04:59:20
1.06,0.0,04:59:54
1.06,0.0,05:00:27
1.06,0.0,05:01:01
1.06,0.0,05:01:34
1.06,0.0,05:02:07
1.06,0.0,05:02:40
1.06,0.0,05:03:14
1.06,0.0,05:03:47
1.06,0.0,05:04:21
1.06,0.0,05:04:54
1.06,0.0,05:05:27
1.06,0.0,05:06:00
1.06,0.0,05:06:33
1.06,0.0,05:07:06
1.06,0.0,05:07:40
1.06,0.0,05:08:13
1.06,0.0,05:08:47
1.06,0.0,05:09:20
1.06,0.0,05:09:52
1.06,0.0,05:10:26
1.06,0.0,05:10:59
1.06,0.0,05:11:32
1.06,0.0,05:12:05
1.06,0.0,05:12:39
1.06,0.0,05:13:12
1.06,0.0,05:13:45
1.06,0.0,05:14:18
1.06,0.0,05:14:51
1.06,0.0,05:15:24
1.06,0.0,05:15:57
1.06,0.0,05:16:31
1.06,0.0,05:17:04
1.06,0.0,05:17:38
1.06,0.0,05:18:10
1.06,0.0,05:18:43
1.06,0.0,05:19:17
1.06,0.0,05:19:50
1.06,0.0,05:20:23
1.06,0.0,05:20:57
1.06,0.0,05:21:30
1.06,0.0,05:22:03
1.06,0.0,05:22:37
1.06,0.0,05:23:10
1.06,0.0,05:23:44
1.06,0.0,05:24:17
1.06,0.0,05:24:50
1.06,0.0,05:25:24
1.06,0.0,05:25:57
1.06,0.0,05:26:31
1.06,0.0,05:27:04
1.06,0.0,05:27:38
1.06,0.0,05:28:11
1.06,0.0,05:28:45
1.06,0.0,05:29:18
1.06,0.0,05:29:51
1.06,0.0,05:30:24
1.06,0.0,05:30:58
1.06,0.0,05:31:31
1.06,0.0,05:32:05
1.06,0.0,05:32:38
1.06,0.0,05:33:12
1.06,0.0,05:33:45
1.06,0.0,05:34:18
1.06,0.0,05:34:52
1.06,0.0,05:35:25
1.06,0.0,05:35:59
1.06,0.0,05:36:32
1.06,0.0,05:37:06
1.06,0.0,05:37:39
1.06,0.0,05:38:13
1.06,0.0,05:38:46
1.06,0.0,05:39:20
1.06,0.0,05:39:53
1.06,0.0,05:40:27
1.06,0.0,05:41:00
1.06,0.0,05:41:34
1.06,0.0,05:42:07
1.06,0.0,05:42:41
1.06,0.0,05:43:15
1.06,0.0,05:43:48
1.06,0.0,05:44:21
1.09,2.83018868,05:44:55
1.09,0.0,05:45:28
1.09,0.0,05:46:02
1.09,0.0,05:46:35
1.09,0.0,05:47:08
1.09,0.0,05:47:42
1.09,0.0,05:48:15
1.09,0.0,05:48:49
1.09,0.0,05:49:22
1.09,0.0,05:49:56
1.09,0.0,05:50:29
1.09,0.0,05:51:03
1.09,0.0,05:51:36
1.09,0.0,05:52:10
1.09,0.0,05:52:43
1.09,0.0,05:53:17
1.09,0.0,05:53:50
1.09,0.0,05:54:24
1.09,0.0,05:54:57
1.09,0.0,05:55:31
1.09,0.0,05:56:04
1.09,0.0,05:56:38
1.09,0.0,05:57:11
1.09,0.0,05:57:45
1.09,0.0,05:58:18
1.09,0.0,05:58:52
1.09,0.0,05:59:25
1.09,0.0,05:59:59
1.09,0.0,06:00:32
1.09,0.0,06:01:05
1.09,0.0,06:01:38
1.09,0.0,06:02:12
1.09,0.0,06:02:46
1.09,0.0,06:03:19
1.09,0.0,06:03:53
1.09,0.0,06:04:26
1.09,0.0,06:05:00
1.09,0.0,06:05:34
1.09,0.0,06:06:07
1.09,0.0,06:06:41
1.09,0.0,06:07:14
1.09,0.0,06:07:48
1.09,0.0,06:08:21
1.09,0.0,06:08:54
1.09,0.0,06:09:27
1.09,0.0,06:10:01
